,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,Time,GSM_X,GSM_Y,GSM_Z,Storm_phase,DIST,Beta,datetime_str,kp,SW_p,Dst,IMF_By,IMF_Bz,direction,FlLen,goodness_of_fit,region
1047,43.709306,2016-06-01,9.0,4,1.380499,2.0,2883.552725,1464789300.0,-9.907046475,-4.5599593249999995,-0.5745952675,0.0,10.921356249999999,0.133795195,2016-06-01 13:46:40,2.0,1.4360417499999998,-10.65,-0.490500005,-0.6436666625,para,13.819961105049098,0.5014509414471431,BL
1048,43.726119,2016-08-10,3.0,4,0.6505401,2.0,9028.527925,1470800100.0,-8.634561275000001,7.662478425,-2.2732069249999998,4.0,11.766049,0.17564986,2016-08-10 03:26:40,2.0,1.8824999999999998,-11.2000001,1.4879166050000001,-3.26666665,para,16.626337407957855,0.7223322614737268,BL
1049,43.731786,2016-09-24,1.0,4,1.3805164,2.0,2883.555775,1474759200.0,-1.7980564,11.020615000000001,-2.423643325,0.0,11.426458,1.8298898749999999,2016-09-24 23:13:20,2.0,3.5253751499999995,-6.499999875,-5.7340002,-1.05250003,para,11.884628591816593,0.5014465788429299,PS
1050,43.752201,2016-05-23,4.0,4,1.3805327,2.0,2883.552725,1463995200.0,-11.32185575,-3.5204415,-1.2522247499999999,0.0,11.92263,0.264373405,2016-05-23 09:13:20,1.75,1.0466666333333334,-9.850000099999999,-1.1450417124999999,1.96450005,para,15.64625664444914,0.5014424920699658,BL
1051,43.780502,2016-05-30,4.0,4,1.3805665,2.0,2883.552725,1464582000.0,-10.151315,0.40630131499999994,-1.19005875,0.0,10.229124250000002,0.1804845675,2016-05-30 04:13:20,3.0,2.145874975,-13.95,-3.249000025,-1.661499975,para,14.251423662141047,0.501434017763458,BL
1052,43.781419,2016-08-30,2.0,4,1.38057,2.0,2883.555775,1472526900.0,-6.364268525,8.66868065,-2.61009385,0.0,11.06643675,0.7394478525,2016-08-30 03:06:40,2.0,2.016625075,-10.39999995,1.7614999999999998,-3.3130000102499997,para,14.740890880447362,0.5014331402546948,BL
1053,43.786159,2016-06-10,2.0,4,1.3805766,2.0,2883.555775,1465545900.0,-11.929798250000001,-0.861854,-0.95241314,0.0,11.99887775,0.3486721425,2016-06-10 07:56:40,2.0,1.742500025,-9.29999995,-2.8099999999999996,-1.69200005,para,16.772374355534836,0.5014314855280624,BL
1054,43.82905,2016-09-11,3.0,4,1.3806477,2.0,2883.555775,1473613800.0,-0.022655061149999996,9.62341875,-4.8078840750000005,4.0,10.757945000000001,0.46230060500000003,2016-09-11 17:03:20,2.0,0.86999999,-11.850000000000001,-0.95987496,-3.730125075,para,11.322841366084043,0.5014136599556032,BL
1055,43.866947,2017-08-19,2.0,5,3.1985049,3.0,3059.4098799999997,1503107840.0,-11.1645398,2.69643006,3.29078014,0.0,11.947788399999999,0.5032494460000001,2017-08-19 01:46:40,2.0,3.1648000799999996,-29.160000200000002,-0.1895999644,2.0860000178,para,16.92533138224204,0.362020501918876,BL
1056,43.866959375135,2017-11-08,2.0,5,3.1985049247775827,3.0,3059.40986328125,1510146760.0,-1.56977228,9.8887621,-0.8634555559999999,3.0,10.05017986,0.06463030292000001,2017-11-08 13:03:20,5.0,3.0768667400000003,-72.31999819999999,3.39839996,-6.069999879999999,para,10.68217304868143,0.3620204983470042,BL
1057,43.941539,2016-09-05,11.0,5,3.1984249,3.0,3059.4098799999997,1473109640.0,-3.0069491200000003,11.0352134,-3.2148537599999996,3.0,11.881027999999999,0.294422186,2016-09-05 20:56:40,2.0,1.34759996,-25.5599992,2.2689667,0.393900001,para,12.072021684975216,0.362032034672627,BL
