,energy,pitch angle,flag,flux,eflux,bx,xgsm,ygsm,zgsm,beta,imfBy,imfBz,storm_phase,velocity_o_all,v_par_all,v_perp_all,density_o_all,pressure_o_all,density_h_all,swp,swv,kp,dst,datetime_str,year,kp_gt_2,storm,region,energy_int
240471,1.8421173095703118,5.625,1.0,1010.774354745582,45515.98461914062,62.19262313842773,-3.41800998621833,-4.936162803088304,1.8889578147597692,0.2777083769535267,-1.4621050357818601,4.9763150215148935,nonstorm,7.992036743680551,4.40812647840786,6.013421526702057,0.1306556870208222,0.06524904717886963,1.449827556101847,4.368365287780762,335.8683166503906,1.7,14.0,2018-07-11 16:51:00,2018,False,False,1.0,2.0
240472,1.8421173095703118,5.625,1.0,2111.091093957887,94285.27124023438,63.72970962524414,-3.35580064330223,-4.909555565796342,1.855308362254324,0.2689932074345199,-1.4518319368362433,4.99114465713501,nonstorm,7.729681292559782,3.141389702026416,6.824801771057633,0.139756807035611,0.06911475441289737,1.483354803034667,4.315825462341309,335.4350280761719,1.7,14.0,2018-07-11 16:53:00,2018,False,False,1.0,2.0
635324,1.8421173095703118,174.375,-1.0,981.931063277742,42455.3291015625,133.7961273193359,-2.8574922597504435,-3.919262059483749,2.122304553274208,0.1147489149840227,2.892981290817261,2.667596578598022,nonstorm,8.380221504287112,5.4105326791820465,5.563424356004635,0.2808533257475872,0.1841671345869461,2.046248208815137,3.12150764465332,392.42333984375,1.7,-16.0,2018-07-17 08:39:00,2018,False,False,1.0,2.0
641770,1.8421173095703118,174.375,-1.0,561.9700476231999,28371.28930664062,45.07964706420898,-4.956721880421425,-3.474436153147157,2.4638654654606933,0.2292437470799591,-3.735072374343872,-1.84782612323761,nonstorm,12.37355157429081,5.409715930810331,10.59149854424981,0.04614130766352975,0.01710708896171638,0.951671072152862,0.7690625190734863,374.3921203613281,0.99,-4.0,2018-07-28 14:31:00,2018,False,False,1.0,2.0
641772,1.8421173095703118,174.375,-1.0,515.9088164413531,21300.48876953125,47.16706848144531,-4.821630314414538,-3.46713942747748,2.4077969236655696,0.2064297074798709,-3.750410556793213,-1.877123236656189,nonstorm,10.58454404455675,6.627524955559831,7.421269295212437,0.04904446381970376,0.018359360849892183,0.9751698352763004,0.7699999809265137,374.1646423339844,0.95,-5.0,2018-07-28 14:35:00,2018,False,False,1.0,2.0
251194,1.8421173095703118,28.125,1.0,77.94482001845823,2826.7705078125,30.54326820373535,-20.07423726852409,-1.21609483831961,6.272363839729834,0.0005212267257378807,-5.999650001525879,0.5203295946121216,nonstorm,42.452981788276865,36.46330327788453,20.10625453624752,0.0035410161582241396,1.36950035668669e-05,0.0666162320107541,2.6050689220428467,319.72265625,2.0,1.0,2018-07-30 19:31:00,2018,False,False,1.0,2.0
267851,1.8421173095703118,5.625,1.0,1438.446747750937,14490.8740234375,-8.403858184814451,-5.9170853002619195,-1.013360919377647,1.336099058685855,0.4107646501467668,-0.5219706296920776,-2.068029403686523,long recovery,29.51871161895903,6.618998990855037,28.10669020841722,0.03297784758290098,0.034153804514164915,1.3288692473983992,1.676153898239136,527.0499877929689,1.415,-43.0,2018-08-28 14:27:00,2018,False,True,1.0,2.0
661348,1.8421173095703118,163.125,-1.0,509.4278458973847,20964.685791015618,41.39085006713867,-6.842056260070999,-0.3440359053184475,1.319552435217842,0.3594877887758168,-0.500644862651825,1.521999716758728,long recovery,7.74712722030975,3.3594024247595264,6.36990042598209,0.08108853030407613,0.021185959894319508,2.431430653878603,2.605611801147461,386.08203125,0.7,-14.0,2018-08-31 09:33:00,2018,False,True,1.0,2.0
661350,1.8421173095703118,174.375,-1.0,733.6713730413185,32006.18188476562,44.21722793579102,-6.716998394393696,-0.3992926776600589,1.311031401731685,0.3099056947565916,-0.2586185038089752,1.40967071056366,long recovery,8.761515914186894,4.091136334722833,6.9439223457640145,0.0932142931318666,0.01974534627757486,3.0653122556853654,2.588623523712158,386.1956176757812,0.7,-13.0,2018-08-31 09:37:00,2018,False,True,1.0,2.0
269508,1.8421173095703118,5.625,1.0,342.46695670324,55436.90659179686,44.21722793579102,-6.716998394393696,-0.3992926776600589,1.311031401731685,0.3099056947565916,-0.2586185038089752,1.40967071056366,long recovery,8.761515914186894,4.091136334722833,6.9439223457640145,0.0932142931318666,0.01974534627757486,3.0653122556853654,2.588623523712158,386.1956176757812,0.7,-13.0,2018-08-31 09:37:00,2018,False,True,1.0,2.0
661351,1.8421173095703118,174.375,-1.0,494.9254701116807,65317.05927734375,45.5098991394043,-6.653780709325559,-0.4269142022367243,1.3066738051078368,0.2846463955966327,-0.131589263677597,1.343112230300903,long recovery,5.583424440479064,3.2422766627206405,4.251959496079992,0.1060133643453855,0.02012133988781232,3.361894662384616,2.580000400543213,386.2744140625,0.7,-13.0,2018-08-31 09:39:00,2018,False,True,1.0,2.0
269509,1.8421173095703118,5.625,1.0,370.92683908959066,63504.15781249999,45.5098991394043,-6.653780709325559,-0.4269142022367243,1.3066738051078368,0.2846463955966327,-0.131589263677597,1.343112230300903,long recovery,5.583424440479064,3.2422766627206405,4.251959496079992,0.1060133643453855,0.02012133988781232,3.361894662384616,2.580000400543213,386.2744140625,0.7,-13.0,2018-08-31 09:39:00,2018,False,True,1.0,2.0
